entry	name	body
10004a10	Get_PageRemain	[[10004a10, 10004a1c]]
10004a20	Get_ThreadErr	[[10004a20, 10004a26]]
10004a30	Get_Scanner	[[10004a30, 10004a36]]
10004a40	CheckData	[[10004a40, 10004a43]]
10004a50	Set_Status	[[10004a50, 10004a59]]
10004a60	operator=	[[10004a60, 10004e57] [10004e60, 10004e9a]]
10004ea0	FUN_10004ea0	[[10004ea0, 10004ef4]]
10004f00	Get_ScanParam	[[10004f00, 10004f03]]
10004f10	Set_LampOffTime	[[10004f10, 10004f14]]
10004f20	Get_ColorMatchingObjectAddress	[[10004f20, 10004f26]]
10004f30	Save_Info	[[10004f30, 10004f42]]
10004f50	Load_Info	[[10004f50, 10004f64]]
10004f70	Check_HasImage	[[10004f70, 10004f9c]]
10004fa0	Get_PlaneImage	[[10004fa0, 10004fa6]]
10004fb0	Get_PlaneImage_Ex	[[10004fb0, 10004fb6]]
10004fc0	Get_BaseImage	[[10004fc0, 10004fc6]]
10004fd0	Get_DispImage	[[10004fd0, 10004fd6]]
10004fe0	Get_GercC_Param	[[10004fe0, 10004fe6]]
10004ff0	Check_RawPrevCancel	[[10004ff0, 10004ff6]]
10005000	SetStatus_RawPrevCancel	[[10005000, 1000500c]]
10005010	Lock	[[10005010, 1000501d]]
10005020	Unlock	[[10005020, 1000502d]]
10005030	Is_MultiMarquee	[[10005030, 10005036]]
10005040	Check_CuBS	[[10005040, 10005046]]
10005050	FG_Preview	[[10005050, 1000548f]]
10005490	operator=	[[10005490, 10005509] [10005510, 10005589] [10005590, 100055c9] [100055d0, 1000594b]]
10005950	Set_ThumbInfoPtr	[[10005950, 1000595c]]
10005960	Get_CapsInfo	[[10005960, 10005966]]
10005970	Get_ThumbInfo	[[10005970, 10005976]]
10005980	FG_Thumb	[[10005980, 100059e6]]
100059f0	operator=	[[100059f0, 10005a56]]
10005a60	operator=	[[10005a60, 10005a72]]
10005a80	FUN_10005a80	[[10005a80, 10005aa2]]
10005ab0	FUN_10005ab0	[[10005ab0, 10005abd]]
10005ac0	FUN_10005ac0	[[10005ac0, 10005ae8]]
10005af0	FUN_10005af0	[[10005af0, 10005b0b]]
10005b10	FUN_10005b10	[[10005b10, 10005b97] [10005ba0, 10005d3c]]
10005d3d	Catch@10005d3d	[[10005d3d, 10005d51]]
10005d52	Catch@10005d52	[[10005d52, 10005d5e]]
10005d60	FUN_10005d60	[[10005d60, 10005e6c]]
10005e70	FUN_10005e70	[[10005e70, 10005f40]]
10005f50	FUN_10005f50	[[10005f50, 10005f9b]]
10005fa0	FUN_10005fa0	[[10005fa0, 10005fcd]]
10005fd0	FUN_10005fd0	[[10005fd0, 10005ffa]]
10006000	FUN_10006000	[[10006000, 1000602a]]
10006030	FUN_10006030	[[10006030, 1000605a]]
10006060	FUN_10006060	[[10006060, 1000625a]]
1000625d	FUN_1000625d	[[1000625d, 10006267]]
10006270	FUN_10006270	[[10006270, 10006315]]
10006320	CDRect	[[10006320, 1000633f]]
10006340	Init	[[10006340, 1000634d]]
10006350	Get_PushMulti_Info	[[10006350, 10006369]]
10006370	Set_PushMulti_Info	[[10006370, 10006387]]
10006390	FG_ScanCtrl	[[10006390, 1000673d]]
10006740	FUN_10006740	[[10006740, 1000675d]]
10006760	FUN_10006760	[[10006760, 100068ed] [100068fb, 10006934]]
100068ee	Catch@100068ee	[[100068ee, 100068fa]]
10006940	FUN_10006940	[[10006940, 10006c43]]
10006c50	FUN_10006c50	[[10006c50, 10006d76] [10006d80, 10006f79] [10006f80, 10006fcc] [10006fd0, 100070a5]]
100070b0	FUN_100070b0	[[100070b0, 10007143]]
10007146	FUN_10007146	[[10007146, 100071a5]]
100071b0	CDRect	[[100071b0, 100071bf]]
100071c0	FUN_100071c0	[[100071c0, 1000726c] [10007270, 10007302]]
10007310	FUN_10007310	[[10007310, 10007326]]
10007330	FUN_10007330	[[10007330, 10007346]]
10007350	FUN_10007350	[[10007350, 10007365]]
10007370	FUN_10007370	[[10007370, 10007ea4]]
10007ef0	FUN_10007ef0	[[10007ef0, 1000801d]]
10008020	FUN_10008020	[[10008020, 10008036]]
10008040	FUN_10008040	[[10008040, 10008056]]
10008060	USIPOpen	[[10008060, 1000806a]]
10008070	Get_TableIndex	[[10008070, 100080f5]]
10008100	Load_TableFile	[[10008100, 10008168]]
10008170	Execute_Degamma_8to16	[[10008170, 100081c7]]
100081d0	Execute_Masking9x3_2	[[100081d0, 10008ace]]
10008ad0	Execute_Masking9x3	[[10008ad0, 10008cb6] [10008cc0, 10008d69] [10008d70, 10008ef6]]
10008f00	Execute_UserTone	[[10008f00, 10008f59] [10008f60, 10009087] [10009090, 10009159] [10009160, 10009217]]
10009260	Execute_Threshold_8to1	[[10009260, 10009312]]
10009320	Execute_Threshold_16to1	[[10009320, 10009389] [10009390, 100093db]]
100093e0	Execute_Invert	[[100093e0, 1000943e]]
10009440	Calc_UserTone	[[10009440, 1000979c] [100097a0, 1000984b]]
1000984c	Catch@1000984c	[[1000984c, 10009860]]
10009861	Catch@10009861	[[10009861, 1000986d]]
10009870	Merge_ToneCurve	[[10009870, 100099d4]]
100099e0	Convert_Bpp	[[100099e0, 10009b8c] [10009b90, 10009e49] [10009e50, 10009e98] [10009ea0, 10009f1b]]
1000a020	Filter_Qare	[[1000a020, 1000a10a]]
1000a110	Filter_Qare_Get_BandSize	[[1000a110, 1000a1e3]]
1000a1f0	Filter_Descreen	[[1000a1f0, 1000a365]]
1000a370	Filter_Cancel	[[1000a370, 1000a379]]
1000a380	Calc_LivePreview	[[1000a380, 1000a70b]]
1000a720	Get_MaskingParam	[[1000a720, 1000a825]]
1000a830	Get_BaseGamma	[[1000a830, 1000a86f]]
1000a870	Change_ImageAlign	[[1000a870, 1000a940]]
1000a950	Extract_RedChannel	[[1000a950, 1000a9f4]]
1000aa00	Convert_RtoRGB	[[1000aa00, 1000aabf]]
1000aac0	FG_ColorGear	[[1000aac0, 1000aacc]]
1000aad0	Open	[[1000aad0, 1000abad]]
1000abae	Catch@1000abae	[[1000abae, 1000abba]]
1000abc0	Matching	[[1000abc0, 1000ac08]]
1000ac10	Close	[[1000ac10, 1000ac1d]]
1000ac20	GetDefMoniter	[[1000ac20, 1000ac4d]]
1000ac50	ColorMatching	[[1000ac50, 1000ac7c]]
1000ac80	ColorGearList	[[1000ac80, 1000acda]]
1000ace0	GetColorGearList	[[1000ace0, 1000ad1f]]
1000ad20	GercC_Calc	[[1000ad20, 1000ae3c]]
1000ae40	GercC_Execute	[[1000ae40, 1000aee9]]
1000aef0	GercG_Execute	[[1000aef0, 1000af6a]]
1000af70	GercG_Close	[[1000af70, 1000af98]]
1000afa0	Calc_HighlightShadowCurve	[[1000afa0, 1000b163]]
1000b170	Calc_ToneCurveFromBCG	[[1000b170, 1000b2af]]
1000b2b0	clear_param	[[1000b2b0, 1000b2d5]]
1000b2e0	init_ausm_param	[[1000b2e0, 1000b352]]
1000b360	Close	[[1000b360, 1000b3a4]]
1000b3b0	Send	[[1000b3b0, 1000b534]]
1000b540	Read	[[1000b540, 1000b5a3]]
1000b5b0	Execute	[[1000b5b0, 1000b6b8]]
1000b6c0	Execute	[[1000b6c0, 1000b6dc] [1000b6e0, 1000b8c9]]
1000b8d0	Execute_Plane	[[1000b8d0, 1000b99b]]
1000b9a0	Calc_FinalToneCurve	[[1000b9a0, 1000bca6]]
1000bca7	Catch@1000bca7	[[1000bca7, 1000bcbb]]
1000bcbc	Catch@1000bcbc	[[1000bcbc, 1000bcc8]]
1000bcd0	FG_Filter_Balco	[[1000bcd0, 1000bceb]]
1000bcf0	Close	[[1000bcf0, 1000bd5f]]
1000bd60	Read	[[1000bd60, 1000bd82]]
1000bd90	Execute	[[1000bd90, 1000bf1d]]
1000bf20	Init_BalcoParam	[[1000bf20, 1000c03e]]
1000c040	Open	[[1000c040, 1000c090]]
1000c0a0	Close	[[1000c0a0, 1000c149]]
1000c150	Calc_CuBS_Analyze	[[1000c150, 1000c985]]
1000c990	Correction_Preview	[[1000c990, 1000cac1]]
1000cad0	Correction_Scan	[[1000cad0, 1000cc09]]
1000cc10	Correction_1pass	[[1000cc10, 1000ccd9]]
1000cce0	Exec	[[1000cce0, 1000ce0e]]
1000ce10	Close	[[1000ce10, 1000ce35]]
1000ce40	Send	[[1000ce40, 1000ce65]]
1000ce70	Close	[[1000ce70, 1000ce90]]
1000cea0	Execute_3DLUT	[[1000cea0, 1000cedf]]
1000cee0	Close_3DLUT	[[1000cee0, 1000cf2e]]
1000cf30	FG_Filter_RACS	[[1000cf30, 1000cf6f]]
1000cf70	init_param	[[1000cf70, 1000d104]]
1000d110	get_gammatbl	[[1000d110, 1000d128]]
1000d130	get_buffer	[[1000d130, 1000d15e]]
1000d160	Free	[[1000d160, 1000d1b1]]
1000d1c0	FUN_1000d1c0	[[1000d1c0, 1000d1d2]]
1000d1e0	FUN_1000d1e0	[[1000d1e0, 1000d1f6]]
1000d200	Init	[[1000d200, 1000d2b2]]
1000d2c0	SwapRGB	[[1000d2c0, 1000d31b]]
1000d320	~FG_ColorGear	[[1000d320, 1000d364]]
1000d370	GercC_Close	[[1000d370, 1000d372]]
1000d380	GercG_Open	[[1000d380, 1000d470]]
1000d480	Open	[[1000d480, 1000d62b]]
1000d630	Open	[[1000d630, 1000d7d8]]
1000d7d9	Catch@1000d7d9	[[1000d7d9, 1000d7ec]]
1000d7f3	FUN_1000d7f3	[[1000d7f3, 1000d80f]]
1000d810	Send	[[1000d810, 1000d859]]
1000d860	Execute	[[1000d860, 1000d996]]
1000d9a0	Open	[[1000d9a0, 1000db02]]
1000db10	Open	[[1000db10, 1000db65]]
1000db70	Load_3DLUT	[[1000db70, 1000e07c]]
1000e0d0	Init	[[1000e0d0, 1000e123]]
1000e130	Calc	[[1000e130, 1000e1d7]]
1000e1e0	Exec	[[1000e1e0, 1000e249] [1000e250, 1000e2f8]]
1000e300	Execute_MultiRACS	[[1000e300, 1000e6d6]]
1000e6e0	Calc_BaseGamma	[[1000e6e0, 1000ea2f]]
1000ea30	Get_DocumentType	[[1000ea30, 1000eb2e]]
1000eb30	Get_DeviceParam_ScannerAbilityXp	[[1000eb30, 1000f0f0]]
1000f310	CheckParam_ScannerAbilityXp	[[1000f310, 1000f344]]
1000f440	Get_DeviceParam	[[1000f440, 1000f49a]]
1000f4a0	Get_AutomaticCropArea	[[1000f4a0, 1000f6ad]]
1000f6b0	Get_DeviceData	[[1000f6b0, 10010078]]
10010100	Set_DeviceParam_ScannerAbilityXp	[[10010100, 100110b7]]
100110d0	FUN_100110d0	[[100110d0, 10011377]]
10011480	FUN_10011480	[[10011480, 10011636]]
10011740	Read	[[10011740, 1001178b]]
10011790	Write	[[10011790, 100117db]]
100117e0	Close	[[100117e0, 100117fa]]
10011800	Seek	[[10011800, 10011885]]
10011890	Check_Checker	[[10011890, 100118b2]]
100118c0	FUN_100118c0	[[100118c0, 10011a06]]
10011a10	FgRiff_Set	[[10011a10, 10011a8b]]
10011a90	FgRiff_Get	[[10011a90, 10011ab8]]
10011ac0	FgRiff_Update	[[10011ac0, 10011b1e]]
10011b20	Create	[[10011b20, 10011b5e]]
10011b60	Open	[[10011b60, 10011bb4]]
10011bc0	FgRiff_Set	[[10011bc0, 10011c20]]
10011c30	FgRiff_Get	[[10011c30, 10011c82]]
10011c90	FgRiff_Update	[[10011c90, 10011ce2]]
10011cf0	FUN_10011cf0	[[10011cf0, 10011e0d]]
10011e10	FUN_10011e10	[[10011e10, 10012073]]
