address	value
10020d38	__cdecl
10020d40	__based(
10020edc	Unknown exception
10020ef0	1#QNAN
10020ef8	1#INF
10020f00	1#IND
10020f08	1#SNAN
10020f10	CONOUT$
10020f38	ServicesActive
10020f48	StiSvc
10020f50	StiSvc
10020f58	StiSvc
10020f60	Invalid DateTime
10020f74	Invalid DateTimeSpan
10020f8c	Invalid DateTime
10020fa0	Invalid DateTimeSpan
10020fb8	sti.dll
10020fc0	SYSTEM\CurrentControlSet\Control\StillImage\Events\STIProxyEvent
1002100c	Cmdline
10021024	SYSTEM\CurrentControlSet\Control\Class
10021050	CreateFileName
10021060	Invalid DateTime
10021074	Invalid DateTimeSpan
1002108c	FriendlyName
100210a4	%CNC.DeviceDesc%
100210b8	Models
100210d0	%CNC.DeviceDesc%
100210e4	Models.NTx86.5.1
10021108	%CNC.DeviceDesc%
1002111c	Models.NTamd64.5.1
10021140	PushButtonPushed
10021154	PushButtonPushed
10021170	PushButton.Events_XP
10021198	ButtonApp
100211a4	Strings
100211b4	FriendlyName
10023ee2	SetupDiGetDeviceRegistryPropertyA
10023f06	SetupDiGetSelectedDriverA
10023f22	SetupDiSetClassInstallParamsA
10023f42	SetupDiCallClassInstaller
10023f5e	SetupDiOpenClassRegKey
10023f78	SetupDiGetActualSectionToInstallA
10023f9c	SetupOpenInfFileA
10023fb0	SetupCloseInfFile
10023fc4	SetupDiGetDriverInfoDetailA
10023fe2	SetupGetStringFieldA
10023ffa	SetupFindFirstLineA
10024010	SetupDiDestroyDeviceInfoList
10024030	SetupDiEnumDeviceInfo
10024048	SetupDiGetClassDevsA
1002405e	SETUPAPI.dll
1002406e	HeapAlloc
1002407a	MultiByteToWideChar
10024090	HeapFree
1002409c	GetLastError
100240ac	SetLastError
100240bc	GetPrivateProfileStringA
100240d8	GetProcessHeap
100240ea	lstrlenA
100240f6	CompareStringA
10024108	WideCharToMultiByte
1002411e	GetVersion
1002412c	InterlockedExchange
10024142	Sleep
1002414a	SizeofResource
1002415c	LockResource
1002416c	LoadResource
1002417c	FindResourceA
1002418c	LocalFree
10024198	FormatMessageA
100241aa	GlobalUnlock
100241ba	GlobalLock
100241c8	GlobalAlloc
100241d6	GlobalFree
100241e4	GetProcAddress
100241f6	GetModuleHandleA
1002420a	GetModuleFileNameW
10024220	InterlockedDecrement
10024238	FreeLibrary
10024246	LocalAlloc
10024254	LeaveCriticalSection
1002426c	TlsGetValue
1002427a	EnterCriticalSection
10024292	GlobalReAlloc
