address	value
10011bac	mscoree.dll
10011bc4	Unknown exception
10011bf8	(null)
10011c08	(null)
10011ccc	 Complete Object Locator'
10011ce8	 Class Hierarchy Descriptor'
10011d08	 Base Class Array'
10011d1c	 Base Class Descriptor at (
10011d38	 Type Descriptor'
10011d4c	`local static thread guard'
10011d68	`managed vector copy constructor iterator'
10011d94	`vector vbase copy constructor iterator'
10011dc0	`vector copy constructor iterator'
10011de4	`dynamic atexit destructor for '
10011e08	`dynamic initializer for '
10011e24	`eh vector vbase copy constructor iterator'
10011e50	`eh vector copy constructor iterator'
10011e78	`managed vector destructor iterator'
10011ea0	`managed vector constructor iterator'
10011ec8	`placement delete[] closure'
10011ee8	`placement delete closure'
10011f04	`omni callsig'
10011f14	 delete[]
10011f20	 new[]
10011f28	`local vftable constructor closure'
10011f4c	`local vftable'
10011f5c	`RTTI
10011f68	`udt returning'
10011f78	`copy constructor closure'
10011f94	`eh vector vbase constructor iterator'
10011fbc	`eh vector destructor iterator'
10011fdc	`eh vector constructor iterator'
10012000	`virtual displacement map'
1001201c	`vector vbase constructor iterator'
10012040	`vector destructor iterator'
10012060	`vector constructor iterator'
10012080	`scalar deleting destructor'
100120a0	`default constructor closure'
100120c0	`vector deleting destructor'
100120e0	`vbase destructor'
100120f4	`string'
10012100	`local static guard'
10012118	`typeof'
10012124	`vcall'
1001212c	`vbtable'
10012138	`vftable'
100121c0	operator
100121e4	 delete
100121f4	__unaligned
10012200	__restrict
1001220c	__ptr64
10012214	__clrcall
10012220	__fastcall
1001222c	__thiscall
10012238	__stdcall
10012244	__pascal
10012250	__cdecl
10012258	__based(
100123e8	GetProcessWindowStation
10012400	GetUserObjectInformationA
1001241c	GetLastActivePopup
10012430	GetActiveWindow
10012440	MessageBoxA
1001244c	USER32.DLL
10012c68	HH:mm:ss
10012c74	dddd, MMMM dd, yyyy
10012c88	MM/dd/yy
10012c9c	December
10012ca8	November
10012cb4	October
10012cbc	September
10012cc8	August
10012ce0	April
10012ce8	March
10012cf0	February
10012cfc	January
10012d34	Saturday
10012d40	Friday
10012d48	Thursday
10012d54	Wednesday
10012d60	Tuesday
10012d68	Monday
10012d70	Sunday
10012d94	InitializeCriticalSectionAndSpinCount
10012dbc	kernel32.dll
10012dcc	SunMonTueWedThuFriSat
10012de4	JanFebMarAprMayJunJulAugSepOctNovDec
10012e0c	CONOUT$
10013d2e	EnterCriticalSection
10013d46	LeaveCriticalSection
10013d5e	InterlockedIncrement
10013d76	InterlockedDecrement
10013d8e	GetModuleHandleA
10013da2	lstrcpyA
10013dae	FreeLibrary
10013dbc	LoadLibraryA
10013dcc	GetSystemDefaultLangID
10013de6	GetPrivateProfileStringA
10013e02	GetWindowsDirectoryA
10013e1a	Sleep
10013e22	WideCharToMultiByte
10013e38	IsBadWritePtr
10013e48	MultiByteToWideChar
10013e5e	FormatMessageA
10013e70	DeleteCriticalSection
10013e88	InitializeCriticalSectionAndSpinCount
10013eb0	CreateMutexA
10013ec0	OpenMutexA
10013ece	ReleaseMutex
10013ede	WaitForSingleObject
10013ef4	GetProcAddress
10013f06	GetSystemDirectoryA
10013f1c	TerminateThread
10013f2e	lstrcmpA
10013f3a	CloseHandle
10013f48	ReadFile
10013f54	CreateFileA
10013f62	ResetEvent
10013f70	SetEvent
10013f7c	GetVersionExA
10013f8c	ExitThread
10013f9a	CreateThread
10013faa	CreateEventA
10013fba	DisableThreadLibraryCalls
10013fd6	lstrlenA
10013fe0	KERNEL32.dll
10013ff0	LoadStringA
10013ffc	USER32.dll
1001400a	RegSetValueExA
1001401c	RegCloseKey
1001402a	RegQueryValueExA
1001403e	RegOpenKeyExA
1001404e	SetSecurityDescriptorDacl
1001406a	InitializeSecurityDescriptor
10014088	ADVAPI32.dll
10014098	RtlUnwind
100140a4	GetLastError
100140b4	HeapFree
100140c0	HeapAlloc
100140cc	GetCurrentThreadId
100140e2	GetCommandLineA
100140f4	GetProcessHeap
10014106	UnhandledExceptionFilter
10014122	SetUnhandledExceptionFilter
10014140	WriteFile
1001414c	GetStdHandle
1001415c	GetModuleFileNameA
10014172	TlsGetValue
10014180	TlsAlloc
1001418c	TlsSetValue
1001419a	TlsFree
100141a4	SetLastError
100141b4	GetCPInfo
100141c0	GetACP
100141ca	GetOEMCP
100141d6	IsValidCodePage
100141e8	TerminateProcess
100141fc	GetCurrentProcess
10014210	IsDebuggerPresent
10014224	HeapDestroy
10014232	HeapCreate
10014240	VirtualFree
1001424e	VirtualAlloc
1001425e	HeapReAlloc
1001426c	ExitProcess
1001427a	RaiseException
1001428c	SetHandleCount
1001429e	GetFileType
100142ac	GetStartupInfoA
100142be	FreeEnvironmentStringsA
100142d8	GetEnvironmentStrings
100142f0	FreeEnvironmentStringsW
1001430a	GetEnvironmentStringsW
10014324	QueryPerformanceCounter
1001433e	GetTickCount
1001434e	GetCurrentProcessId
10014364	GetSystemTimeAsFileTime
1001437e	GetLocaleInfoA
10014390	LCMapStringA
100143a0	LCMapStringW
100143b0	GetStringTypeA
100143c2	GetStringTypeW
100143d4	InitializeCriticalSection
100143f0	HeapSize
100143fc	SetFilePointer
1001440e	GetConsoleCP
1001441e	GetConsoleMode
10014430	SetStdHandle
10014440	WriteConsoleA
10014450	GetConsoleOutputCP
10014466	WriteConsoleW
10014476	FlushFileBuffers
100144ea	CNx2008U.dll
100144f7	CreateUSD
10014501	DeleteUSD
1001450b	DllCanUnloadNow
1001451b	DllGetClassObject
1001452d	DllMain
100150d0	.?AUINonDelegatingUnknown@@
100150f4	.?AVBaseUSD@@
1001510c	.?AUIStiUSD@@
10015124	.?AUIUnknown@@
1001513c	.?AVCANONAPI@@
100152e8	.?AVCanonUSDClassFactory@@
1001530c	.?AUIClassFactory@@
100153f0	.?AVNonStiDeviceControl@@
10015414	.?AUIStiDeviceControl@@
10015438	.?AVtype_info@@
1001545c	.?AVbad_alloc@std@@
10015478	.?AVexception@std@@
100156b6	abcdefghijklmnopqrstuvwxyz
100156d6	ABCDEFGHIJKLMNOPQRSTUVWXYZ
100158c1	abcdefghijklmnopqrstuvwxyz
100158e1	ABCDEFGHIJKLMNOPQRSTUVWXYZ
10015cec	.?AVbad_exception@std@@
10019102	StringFileInfo
10019126	040904b0
1001913e	CompanyName
10019158	CANON INC.
10019176	FileDescription
10019198	Scanner Driver
100191be	FileVersion
100191d8	1, 1, 3, 0
100191f6	InternalName
10019210	CNx2008U
1001922a	LegalCopyright
10019248	Copyright CANON INC. 2008 All Rights Reserved
100192aa	OriginalFilename
100192cc	CNx2008U.DLL
100192ee	ProductName
10019308	Scanner Driver
1001932e	ProductVersion
1001934c	13.0.0
10019362	VarFileInfo
10019382	Translation
100193a0	<assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0">\r\n</assembly>PAPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGX
ffdfff50	00000000-0000-0000-0000-000000000000
