address	value
10011b1e	GetStartupInfoA
10011b30	FreeEnvironmentStringsA
10011b4a	GetEnvironmentStrings
10011b62	FreeEnvironmentStringsW
10011b7c	GetEnvironmentStringsW
10011b96	QueryPerformanceCounter
10011bb0	GetTickCount
10011bc0	GetCurrentProcessId
10011bd6	GetSystemTimeAsFileTime
10011bf0	SetFilePointer
10011c02	GetConsoleCP
10011c12	GetConsoleMode
10011c24	GetCPInfo
10011c30	GetACP
10011c3a	GetOEMCP
10011c46	MultiByteToWideChar
10011c5c	Sleep
10011c64	InitializeCriticalSection
10011c80	GetModuleHandleW
10011c94	LoadLibraryA
10011ca4	SetStdHandle
10011cb4	WriteConsoleA
10011cc4	GetConsoleOutputCP
10011cda	WriteConsoleW
10011cea	LCMapStringA
10011cfa	LCMapStringW
10011d0a	GetStringTypeA
10011d1c	GetStringTypeW
10011d2e	GetLocaleInfoA
10011d40	CreateFileA
10011d4e	CloseHandle
10011d5c	FlushFileBuffers
10011d70	VirtualProtect
10011d82	GetSystemInfo
10011d92	VirtualQuery
10011e90	CNx2008I.dll
10011e9d	??0CICMFunction@@QAE@ABV0@@Z
10011eba	??0CICMFunction@@QAE@XZ
10011ed2	??0CSImageEnhance@@QAE@ABV0@@Z
10011ef1	??0CSImageEnhance@@QAE@XZ
10011f0b	??0CS_ImageEnhance@@QAE@ABV0@@Z
10011f2b	??0CS_ImageEnhance@@QAE@XZ
10011f46	??1CICMFunction@@UAE@XZ
10011f5e	??1CSImageEnhance@@UAE@XZ
10011f78	??1CS_ImageEnhance@@UAE@XZ
10011f93	??4CICMFunction@@QAEAAV0@ABV0@@Z
10011fb4	??4CSImageEnhance@@QAEAAV0@ABV0@@Z
10011fd7	??4CS_ImageEnhance@@QAEAAV0@ABV0@@Z
10011ffb	??_7CICMFunction@@6B@
10012011	??_7CSImageEnhance@@6B@
10012029	??_7CS_ImageEnhance@@6B@
10012042	?Scale@CS_ImageEnhance@@UAEJPAVCS_ImageData@@KK@Z
10012074	CreateICMObj
10012081	CreateImgEnhObj
10012091	DeleteICMObj
1001209e	DeleteImgEnhObj
10013008	.?AVCICMFunction@@
10013024	.?AVCICMFunc@@
1001303c	.?AVCSImageEnhance@@
1001305c	.?AVCS_ImageEnhance@@
1001307c	.?AVAssociation@@
10013098	.?AVAssociationSet@@
10013240	.?AVbad_exception@std@@
10013260	.?AVexception@@
100138ee	abcdefghijklmnopqrstuvwxyz
1001390e	ABCDEFGHIJKLMNOPQRSTUVWXYZ
10013af9	abcdefghijklmnopqrstuvwxyz
10013b19	ABCDEFGHIJKLMNOPQRSTUVWXYZ
100160c2	StringFileInfo
100160e6	040904b0
100160fe	CompanyName
10016118	CANON INC.
10016136	FileDescription
10016158	WIA Scanner Driver Image Enhancement dll
100161b2	FileVersion
100161cc	1, 1, 3, 0
100161ea	InternalName
10016204	CNx2008I
1001621e	LegalCopyright
1001623c	Copyright CANON INC. 2008 All Rights Reserved
1001629e	OriginalFilename
100162c0	CNx2008I.dll
100162e2	ProductName
100162fc	WIA Scanner Driver
1001632a	ProductVersion
10016348	1, 2, 0, 0
10016366	VarFileInfo
10016386	Translation
ffdfff50	00000000-0000-0000-0000-000000000000
