address	value
1002f0d8	Image Class
1002f0f0	Document Handling Status
1002f124	Document Handling Capabilities
1002f164	Item Category
1002f180	Access Rights
1002f19c	Firmware Version
1002f1d0	Save as PDF file (Black Start button)
1002f220	Save as PDF file (Color Start button)
1002f270	Film Scan to Save (Black Start button)
1002f2c0	Film Scan to Save (Color Start button)
1002f310	Open with application (Black Start button)
1002f368	Open with application (Color Start button)
1002f3c0	Attach to E-mail (Black Start button)
1002f410	Attach to E-mail (Color Start button)
1002f45c	Open with application
1002f488	Attach to E-mail
1002f4ac	Save as PDF file
1002f4d0	Save to PC
1002f4e8	Device Connected
1002f50c	Black Start Button
1002f534	Color Start Button
1002f55c	PDF Button (BLACK and WHITE)
1002f598	CanoScan PHOTO/FILM Button
1002f5d0	CanoScan PHOTO Button
1002f5fc	CanoScan PDF Button (FINISH)
1002f638	CanoScan PDF Button (CUSTOM)
1002f678	CanoScan PDF Button (BLACK and WHITE)
1002f6c4	CanoScan PDF Button (COLOR)
1002f6fc	CanoScan POTO/FILM Button
1002f730	sti.dll,-2006
1002f74c	Build device tree
1002f770	sti.dll,-2005
1002f78c	Delete device tree
1002f7b4	sti.dll,-2002
1002f7d0	Delete all items
1002f7f4	sti.dll,-2000
1002f810	Synchronize
1002f828	CanoScan PDF Button
1002f850	CanoScan E-MAIL Button
1002f880	CanoScan COPY Button
1002f8ac	CanoScan SCAN Button
1002f8d8	sti.dll,-1001
1002f8f4	CanoScan Device Connected
1002f928	IX-24135H       
1002f94c	IX-48075H       
1002f970	IX-48085H       
1002f994	MP240 series    
1002f9b8	MP260 series    
1002f9dc	MP480 series    
1002fa00	MP540 series    
1002fa24	MP620 series    
1002fa48	MP630 series    
1002fa6c	MP980 series    
1002fa90	%ws\%ws
1002faa0	IX-24135H       
1002fac4	IX-48075H       
1002fae8	IX-48085H       
1002fb0c	MP240 series    
1002fb30	MP260 series    
1002fb54	MP480 series    
1002fb78	MP540 series    
1002fb9c	MP620 series    
1002fbc0	MP630 series    
1002fbe4	MP980 series    
10030018	IX-24135H       
1003003c	IX-48075H       
10030060	IX-48085H       
10030084	MP240 series    
100300a8	MP260 series    
100300cc	MP480 series    
100300f0	MP540 series    
10030114	MP620 series    
10030138	MP630 series    
1003015c	MP980 series    
100301b8	CNQ2413I.DLL
100301d4	CNQ4807I.DLL
100301f0	CNQ4808I.DLL
1003020c	CNC240I.DLL
10030224	CNC260I.DLL
1003023c	CNC480I.DLL
10030254	CNC540I.DLL
1003026c	CNC620I.DLL
10030284	CNC630I.DLL
1003029c	CNC980I.DLL
100302c0	CreateICMObj
100302d0	CreateImgEnhObj
100302e0	DeleteICMObj
100302f0	DeleteImgEnhObj
10030308	DspGamma
1003031c	HiDefinitionMode
10030340	UnsharpMask
10030358	ColorMatch
10030370	Descreen
10030384	TextEnhance
10030418	Software
1003042c	option
1003043c	Canon
10030450	Devices
10030460	%ws\%ws\%ws\%ws\%ws\%ws
1003059c	EncodePointer
100305ac	KERNEL32.DLL
100305bc	DecodePointer
100305cc	FlsFree
100305d4	FlsSetValue
100305e0	FlsGetValue
100305ec	FlsAlloc
100305f8	Invalid parameter passed to C runtime function.\n
1003062c	CorExitProcess
1003063c	mscoree.dll
10030648	runtime error 
1003065c	TLOSS error\r\n
1003066c	SING error\r\n
1003067c	DOMAIN error\r\n
10030690	R6034\r\nAn application has made an attempt to load the C runtime library incorrectly.\nPlease contact the application's support team for more information.\r\n
10030730	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
10030828	R6032\r\n- not enough space for locale information\r\n
10030860	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
100308c4	R6030\r\n- CRT not initialized\r\n
100308e4	R6028\r\n- unable to initialize heap\r\n
1003090c	R6027\r\n- not enough space for lowio initialization\r\n
10030944	R6026\r\n- not enough space for stdio initialization\r\n
1003097c	R6025\r\n- pure virtual function call\r\n
100309a4	R6024\r\n- not enough space for _onexit/atexit table\r\n
100309dc	R6019\r\n- unable to open console device\r\n
10030a08	R6018\r\n- unexpected heap error\r\n
10030a2c	R6017\r\n- unexpected multithread lock error\r\n
10030a5c	R6016\r\n- not enough space for thread data\r\n
10030a88	\r\nThis application has requested the Runtime to terminate it in an unusual way.\nPlease contact the application's support team for more information.\r\n
10030b20	R6009\r\n- not enough space for environment\r\n
10030b4c	R6008\r\n- not enough space for arguments\r\n
10030b78	R6002\r\n- floating point support not loaded\r\n
10030ba8	Microsoft Visual C++ Runtime Library
10030bd4	<program name unknown>
10030bec	Runtime Error!\n\nProgram: 
10030c18	bad exception
10030c28	(null)
10030c40	e+000
10034ede	.= Complete Object Locator'
10034efc	 Class Hierarchy Descriptor'
10034f1c	 Base Class Array'
10034f30	 Base Class Descriptor at (
10034f4c	 Type Descriptor'
10034f60	`local static thread guard'
10034f7c	`managed vector copy constructor iterator'
10034fa8	`vector vbase copy constructor iterator'
10034fd4	`vector copy constructor iterator'
10034ff8	`dynamic atexit destructor for '
1003501c	`dynamic initializer for '
10035038	`eh vector vbase copy constructor iterator'
10035064	`eh vector copy constructor iterator'
1003508c	`managed vector destructor iterator'
100350b4	`managed vector constructor iterator'
100350dc	`placement delete[] closure'
100350fc	`placement delete closure'
10035118	`omni callsig'
10035128	 delete[]
10035134	 new[]
1003513c	`local vftable constructor closure'
10035160	`local vftable'
10035170	`RTTI
1003517c	`udt returning'
1003518c	`copy constructor closure'
100351a8	`eh vector vbase constructor iterator'
100351d0	`eh vector destructor iterator'
100351f0	`eh vector constructor iterator'
10035214	`virtual displacement map'
10035230	`vector vbase constructor iterator'
10035254	`vector destructor iterator'
10035274	`vector constructor iterator'
10035294	`scalar deleting destructor'
100352b4	`default constructor closure'
100352d4	`vector deleting destructor'
100352f4	`vbase destructor'
10035308	`string'
10035314	`local static guard'
1003532c	`typeof'
10035338	`vcall'
10035340	`vbtable'
1003534c	`vftable'
100353d4	operator
100353f8	 delete
10035408	__unaligned
10035414	__restrict
10035420	__ptr64
10035428	__clrcall
10035434	__fastcall
10035440	__thiscall
1003544c	__stdcall
10035458	__pascal
10035464	__cdecl
1003546c	__based(
100355f8	InitializeCriticalSectionAndSpinCount
10035620	kernel32.dll
10035e48	HH:mm:ss
10035e54	dddd, MMMM dd, yyyy
10035e68	MM/dd/yy
10035e7c	December
10035e88	November
10035e94	October
10035e9c	September
10035ea8	August
10035ec0	April
10035ec8	March
10035ed0	February
10035edc	January
10035f14	Saturday
10035f20	Friday
10035f28	Thursday
10035f34	Wednesday
10035f40	Tuesday
10035f48	Monday
10035f50	Sunday
10035f74	GetProcessWindowStation
10035f8c	GetUserObjectInformationA
10035fa8	GetLastActivePopup
10035fbc	GetActiveWindow
10035fcc	MessageBoxA
10035fd8	USER32.DLL
10035fec	Unknown exception
100360fc	floor
10036114	exp10
10036130	log10
10036140	SetThreadStackGuarantee
10036158	SunMonTueWedThuFriSat
10036170	JanFebMarAprMayJunJulAugSepOctNovDec
10036198	1#QNAN
100361a0	1#INF
100361a8	1#IND
100361b0	1#SNAN
100361b8	_nextafter
10036230	CONOUT$
10037416	wiasGetDrvItem
10037428	wiasWriteMultiple
1003743c	wiasGetImageInformation
10037456	wiasReadPropLong
1003746a	wiasReadPropGuid
1003747e	wiasValidateItemProperties
1003749c	wiasFreePropContext
100374b2	wiasUpdateValidFormat
100374ca	wiasUpdateScanRect
100374e0	wiasGetRootItem
100374f2	wiasCreatePropContext
1003750a	wiasGetItemType
1003751c	wiasReadPropStr
1003752e	wiasSetItemPropAttribs
10037548	wiasWritePropLong
1003755c	wiasWritePropStr
10037570	wiasCreateDrvItem
10037584	wiasSetValidListLong
1003759c	wiasGetChangedValueLong
100375b6	wiasSetPropChanged
100375cc	wiasSetItemPropNames
100375e4	wiasGetContextFromName
100375fe	wiasWritePropGuid
10037610	wiaservc.dll
10037620	EnterCriticalSection
10037638	LeaveCriticalSection
10037650	InterlockedIncrement
10037668	InterlockedDecrement
10037680	DeleteCriticalSection
10037698	CloseHandle
100376a6	GlobalFree
100376b4	MultiByteToWideChar
100376ca	lstrlenA
100376d6	GlobalAlloc
100376e4	GetModuleHandleW
100376f8	Sleep
10037700	FreeLibrary
1003770e	LoadLibraryW
1003771e	GetSystemDefaultLangID
10037738	GetPrivateProfileStringW
10037754	GetWindowsDirectoryW
1003776c	CreateEventW
1003777c	InitializeCriticalSection
10037798	ReleaseMutex
100377a8	WaitForSingleObject
100377be	WideCharToMultiByte
100377d4	lstrcmpW
100377e0	ResetEvent
100377ee	TerminateThread
10037800	SetEvent
1003780c	ExitThread
1003781a	CreateMutexW
1003782a	OpenMutexW
10037838	GetProcAddress
1003784a	GetSystemDirectoryW
10037860	ReadFile
1003786c	CreateFileW
1003787a	CreateThread
1003788a	HeapFree
10037896	HeapAlloc
100378a2	GetProcessHeap
100378b4	lstrlenW
100378c0	lstrcatW
100378cc	GetTempPathW
100378dc	DisableThreadLibraryCalls
100378f8	GetVersionExW
10037908	GetVersion
10037914	KERNEL32.dll
10037924	LoadStringW
10037930	USER32.dll
1003793e	RegCloseKey
1003794c	RegQueryValueExW
10037960	RegOpenKeyExW
10037970	RegSetValueExW
10037982	SetSecurityDescriptorDacl
1003799e	InitializeSecurityDescriptor
100379be	RegEnumValueW
100379ce	RegFlushKey
100379dc	RegDeleteValueW
100379ee	RegCreateKeyExW
100379fe	ADVAPI32.dll
10037a0e	CoTaskMemAlloc
10037a20	CoTaskMemFree
10037a2e	ole32.dll
10037a38	OLEAUT32.dll
10037a48	RaiseException
10037a5a	GetLastError
